item,itemLabel
http://www.wikidata.org/entity/Q1194674,computer-assisted language learning
http://www.wikidata.org/entity/Q1194864,electronic design automation
http://www.wikidata.org/entity/Q1199356,standard library
http://www.wikidata.org/entity/Q1200186,remote desktop software
http://www.wikidata.org/entity/Q1281199,password manager
http://www.wikidata.org/entity/Q1328864,screen reader
http://www.wikidata.org/entity/Q1344636,Enterprise Content Management system
http://www.wikidata.org/entity/Q1345429,formula editor
http://www.wikidata.org/entity/Q1368899,command-line interpreter
http://www.wikidata.org/entity/Q1371279,server software
http://www.wikidata.org/entity/Q1373429,video editing software
http://www.wikidata.org/entity/Q1391080,business software
http://www.wikidata.org/entity/Q1403556,reference management software
http://www.wikidata.org/entity/Q1419081,PC booter
http://www.wikidata.org/entity/Q1440548,fractal-generating software
http://www.wikidata.org/entity/Q1444922,runtime library
http://www.wikidata.org/entity/Q1461523,console application
http://www.wikidata.org/entity/Q1464880,installer
http://www.wikidata.org/entity/Q1487455,graphical user interface builder
http://www.wikidata.org/entity/Q1531370,outliner
http://www.wikidata.org/entity/Q1568118,personal information manager
http://www.wikidata.org/entity/Q1575458,validator
http://www.wikidata.org/entity/Q1632665,Httpd
http://www.wikidata.org/entity/Q1637192,video player
http://www.wikidata.org/entity/Q1639024,mathematical software
http://www.wikidata.org/entity/Q1641413,job scheduler
http://www.wikidata.org/entity/Q1760114,GLR parser
http://www.wikidata.org/entity/Q1760545,XML editor
http://www.wikidata.org/entity/Q1798149,laboratory information management system
http://www.wikidata.org/entity/Q1955251,music software
http://www.wikidata.org/entity/Q2023643,On-premises software
http://www.wikidata.org/entity/Q2072225,human resource management system
http://www.wikidata.org/entity/Q2092884,tiling window manager
http://www.wikidata.org/entity/Q2115026,presentation program
http://www.wikidata.org/entity/Q2158576,orthodox file manager
http://www.wikidata.org/entity/Q2164323,documentation generator
http://www.wikidata.org/entity/Q2164499,optical disc authoring software
http://www.wikidata.org/entity/Q2257348,grammar checker
http://www.wikidata.org/entity/Q2276335,graphics suite
http://www.wikidata.org/entity/Q2351962,raster graphics editor
http://www.wikidata.org/entity/Q2462003,instant messaging client
http://www.wikidata.org/entity/Q2467310,UML tool
http://www.wikidata.org/entity/Q2481505,audio codec
http://www.wikidata.org/entity/Q2522958,video software
http://www.wikidata.org/entity/Q2727468,build automation
http://www.wikidata.org/entity/Q2933820,calendaring software
http://www.wikidata.org/entity/Q2979024,HTTP client
http://www.wikidata.org/entity/Q2996416,file converter
http://www.wikidata.org/entity/Q3006107,portable application creator
http://www.wikidata.org/entity/Q3125508,hacking tool
http://www.wikidata.org/entity/Q3248226,partition editor
http://www.wikidata.org/entity/Q3257916,animation software
http://www.wikidata.org/entity/Q3257918,educational content editing software
http://www.wikidata.org/entity/Q3257920,Q3257920
http://www.wikidata.org/entity/Q3257930,version control system
http://www.wikidata.org/entity/Q3307487,diagramming software
http://www.wikidata.org/entity/Q3363001,wrapper library
